Company/Brand,Sector,Stage,Amount($),Location,What it does,Amount($),Year of Funding
TheCollegeFever,Brand Marketing,Seed,250000,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",250000.0,2018
Happy Cow Dairy,Agriculture,Seed,5840000.0,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,1000000.0,2018
MyLoanCare,Credit,Series A,9490000.0,Gurgaon,Leading Online Loans Marketplace in India,1000000.0,2018
PayMe India,Financial Services,Angel,2000000,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2000000.0,2018
Eunimart,E-Commerce Platforms,Seed,,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,1000000.0,2018
Hasura,Cloud Infrastructure,Seed,1600000,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",1600000.0,2018
Tripshelf,Internet,Seed,2336000.0,Kalkaji,Tripshelf is an online market place for holiday packages.,1000000.0,2018
Hyperdata.IO,Market Research,Angel,7300000.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,1000000.0,2018
Freightwalla,Information Services,Seed,,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,1000000.0,2018
Microchip Payments,Mobile Payments,Seed,,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,1000000.0,2018
BizCrum Infotech Pvt. Ltd.,B2B,Seed,,Delhi,Building Transactionary B2B Marketplaces,1000000.0,2018
Emojifi,Internet,Seed,,Bengaluru,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",1000000.0,2018
Flock,Apps,Seed,,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,1000000.0,2018
Freshboxx,Food Delivery,Seed,,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",1000000.0,2018
Wide Mobility Mechatronics,Industrial Automation,Seed,,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,1000000.0,2018
Pitstop,Automotive,Seed,14600000.0,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,1000000.0,2018
Mihuru,Finance,Seed,150000,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,150000.0,2018
Fyle,Accounting,Seed,1100000,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,1100000.0,2018
AppWharf,Artificial Intelligence,Seed,,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,1000000.0,2018
Antariksh Waste Ventures Pvt ltd,Internet of Things,Seed,73000.0,Chennai,Waste Management for Smart Cities,1000000.0,2018
Cogoport,Air Transportation,Series A,6000000,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,6000000.0,2018
PaisaDukan,Financial Services,Seed,650000,Mumbai,A P2P lending marketplace platform,650000.0,2018
Sleepy Owl Coffee,Food and Beverage,Seed,5110000.0,New Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",1000000.0,2018
BlueJack,Autonomous Vehicles,Seed,9344000.0,Delhi,Delhi-based online used vehicles marketplace.,1000000.0,2018
PregBuddy,Enterprise Software,Seed,,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers.,1000000.0,2018
AgNext Technologies,Agriculture,Series A,,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,1000000.0,2018
Pando,Logistics,Seed,2000000,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2000000.0,2018
Mintifi,Financial Services,Seed,2000000,Mumbai,Online lending startup based in Mumbai.,2000000.0,2018
Carcrew,Automotive,Seed,2000000,Mumbai,India's Online Auto Repair Marketplace,2000000.0,2018
NicheAI,Artificial Intelligence,Angel,,Hyderabad,Early stage Artificial Intelligence (AI) start up.,1000000.0,2018
Chariot Tech,Internet of Things,Seed,2920000.0,New Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,1000000.0,2018
Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,1000000,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,1000000.0,2018
Loanzen,Financial Services,Seed,,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,1000000.0,2018
Mojro Technologies,Information Technology,Seed,650000,Bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform.,650000.0,2018
Elemential,Blockchain,Seed,1000000,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",1000000.0,2018
Loadshare,Industrial Automation,Series A,5000000,Bengaluru,LoadShare is India’s fastest growing logistics company,5000000.0,2018
Yumlane,Food and Beverage,Series A,4000000,Mumbai,Food startup Yumlane operated by QwikPik Technology,4000000.0,2018
